Category,Year,Date,Weekday,Current_Match,Country,Commodity,Transport_Mode,Measure,Value,Cumulative
Reimpor,2020,01/12/2020,Tuesday,2020-01-12,All,All,All,$,1000000,173000000
Reimpor,2016,29/11/2016,Tuesday,2020-01-12,All,All,All,$,0,171000000
Reimpor,2019,03/02/2019,Sunday,2020-02-02,All,All,All,$,0,0
Reimpor,2016,31/01/2016,Sunday,2020-02-02,All,All,All,$,0,0
Reimpor,2017,05/02/2017,Sunday,2020-02-02,All,All,All,$,0,0
Reimpor,2018,04/02/2018,Sunday,2020-02-02,All,All,All,$,0,0
Reimpor,2020,02/02/2020,Sunday,2020-02-02,All,All,All,$,0,0
Reimpor,2015,01/02/2015,Sunday,2020-02-02,All,All,All,$,0,0
Reimpor,2018,05/03/2018,Monday,2020-02-03,All,All,All,$,1000000,16000000
Reimpor,2016,29/02/2016,Monday,2020-02-03,All,All,All,$,1000000,15000000
Reimpor,2019,04/03/2019,Monday,2020-02-03,All,All,All,$,1000000,14000000
Reimpor,2015,02/03/2015,Monday,2020-02-03,All,All,All,$,1000000,23000000
Reimpor,2020,02/03/2020,Monday,2020-02-03,All,All,All,$,1000000,14000000
Reimpor,2017,06/03/2017,Monday,2020-02-03,All,All,All,$,1000000,11000000
Reimpor,2019,04/04/2019,Thursday,2020-02-04,All,All,All,$,0,30000000
Reimpor,2017,06/04/2017,Thursday,2020-02-04,All,All,All,$,0,29000000
Reimpor,2018,05/04/2018,Thursday,2020-02-04,All,All,All,$,1000000,29000000
Reimpor,2015,02/04/2015,Thursday,2020-02-04,All,All,All,$,1000000,43000000
Reimpor,2016,31/03/2016,Thursday,2020-02-04,All,All,All,$,3000000,36000000
Reimpor,2020,02/04/2020,Thursday,2020-02-04,All,All,All,$,0,28000000
Reimpor,2017,06/05/2017,Saturday,2020-02-05,All,All,All,$,0,44000000
Reimpor,2015,02/05/2015,Saturday,2020-02-05,All,All,All,$,0,66000000
Reimpor,2016,30/04/2016,Saturday,2020-02-05,All,All,All,$,0,57000000
Reimpor,2018,05/05/2018,Saturday,2020-02-05,All,All,All,$,0,56000000
Reimpor,2019,04/05/2019,Saturday,2020-02-05,All,All,All,$,0,49000000
Reimpor,2020,02/05/2020,Saturday,2020-02-05,All,All,All,$,0,43000000
Reimpor,2019,04/06/2019,Tuesday,2020-02-06,All,All,All,$,0,64000000
Reimpor,2020,02/06/2020,Tuesday,2020-02-06,All,All,All,$,1000000,56000000
Reimpor,2018,05/06/2018,Tuesday,2020-02-06,All,All,All,$,2000000,76000000
Reimpor,2017,06/06/2017,Tuesday,2020-02-06,All,All,All,$,0,58000000
Reimpor,2016,31/05/2016,Tuesday,2020-02-06,All,All,All,$,1000000,74000000
Reimpor,2015,02/06/2015,Tuesday,2020-02-06,All,All,All,$,0,81000000
Reimpor,2016,30/06/2016,Thursday,2020-02-07,All,All,All,$,0,90000000
Reimpor,2018,05/07/2018,Thursday,2020-02-07,All,All,All,$,1000000,90000000
Reimpor,2019,04/07/2019,Thursday,2020-02-07,All,All,All,$,2000000,82000000
Reimpor,2015,02/07/2015,Thursday,2020-02-07,All,All,All,$,0,94000000
Reimpor,2020,02/07/2020,Thursday,2020-02-07,All,All,All,$,0,76000000
Reimpor,2017,06/07/2017,Thursday,2020-02-07,All,All,All,$,0,70000000
Reimpor,2018,05/08/2018,Sunday,2020-02-08,All,All,All,$,0,103000000
Reimpor,2020,02/08/2020,Sunday,2020-02-08,All,All,All,$,0,101000000
Reimpor,2016,31/07/2016,Sunday,2020-02-08,All,All,All,$,0,106000000
Reimpor,2017,06/08/2017,Sunday,2020-02-08,All,All,All,$,0,87000000
Reimpor,2019,04/08/2019,Sunday,2020-02-08,All,All,All,$,0,94000000
Reimpor,2015,02/08/2015,Sunday,2020-02-08,All,All,All,$,0,116000000
Reimpor,2016,31/08/2016,Wednesday,2020-02-09,All,All,All,$,1000000,124000000
Reimpor,2017,06/09/2017,Wednesday,2020-02-09,All,All,All,$,0,113000000
Reimpor,2019,04/09/2019,Wednesday,2020-02-09,All,All,All,$,0,110000000
Reimpor,2020,02/09/2020,Wednesday,2020-02-09,All,All,All,$,0,125000000
Reimpor,2018,05/09/2018,Wednesday,2020-02-09,All,All,All,$,1000000,120000000
Reimpor,2015,02/09/2015,Wednesday,2020-02-09,All,All,All,$,3000000,151000000
Reimpor,2019,04/10/2019,Friday,2020-02-10,All,All,All,$,0,123000000
Reimpor,2015,02/10/2015,Friday,2020-02-10,All,All,All,$,1000000,173000000
Reimpor,2016,30/09/2016,Friday,2020-02-10,All,All,All,$,1000000,141000000
Reimpor,2020,02/10/2020,Friday,2020-02-10,All,All,All,$,0,135000000
Reimpor,2018,05/10/2018,Friday,2020-02-10,All,All,All,$,0,137000000
Reimpor,2017,06/10/2017,Friday,2020-02-10,All,All,All,$,1000000,130000000
Reimpor,2020,02/11/2020,Monday,2020-02-11,All,All,All,$,4000000,156000000
Reimpor,2017,06/11/2017,Monday,2020-02-11,All,All,All,$,1000000,153000000
Reimpor,2019,04/11/2019,Monday,2020-02-11,All,All,All,$,0,139000000
Reimpor,2018,05/11/2018,Monday,2020-02-11,All,All,All,$,1000000,150000000
Reimpor,2015,02/11/2015,Monday,2020-02-11,All,All,All,$,1000000,197000000
Reimpor,2016,31/10/2016,Monday,2020-02-11,All,All,All,$,1000000,156000000
Reimpor,2019,04/12/2019,Wednesday,2020-02-12,All,All,All,$,2000000,161000000
Reimpor,2016,30/11/2016,Wednesday,2020-02-12,All,All,All,$,1000000,172000000
Reimpor,2017,06/12/2017,Wednesday,2020-02-12,All,All,All,$,0,169000000
Reimpor,2015,02/12/2015,Wednesday,2020-02-12,All,All,All,$,1000000,214000000
Reimpor,2020,02/12/2020,Wednesday,2020-02-12,All,All,All,$,1000000,174000000
Reimpor,2018,05/12/2018,Wednesday,2020-02-12,All,All,All,$,1000000,168000000
Reimpor,2020,13/02/2020,Thursday,2020-02-13,All,All,All,$,1000000,6000000
Reimpor,2018,15/02/2018,Thursday,2020-02-13,All,All,All,$,1000000,6000000
Reimpor,2015,12/02/2015,Thursday,2020-02-13,All,All,All,$,0,11000000
Reimpor,2016,11/02/2016,Thursday,2020-02-13,All,All,All,$,1000000,7000000
Reimpor,2019,14/02/2019,Thursday,2020-02-13,All,All,All,$,0,7000000
Reimpor,2017,16/02/2017,Thursday,2020-02-13,All,All,All,$,0,3000000
Reimpor,2019,15/02/2019,Friday,2020-02-14,All,All,All,$,1000000,7000000
Reimpor,2017,17/02/2017,Friday,2020-02-14,All,All,All,$,2000000,5000000
Reimpor,2020,14/02/2020,Friday,2020-02-14,All,All,All,$,0,6000000
Reimpor,2015,13/02/2015,Friday,2020-02-14,All,All,All,$,0,12000000
Reimpor,2018,16/02/2018,Friday,2020-02-14,All,All,All,$,1000000,7000000
Reimpor,2016,12/02/2016,Friday,2020-02-14,All,All,All,$,1000000,7000000
Reimpor,2016,13/02/2016,Saturday,2020-02-15,All,All,All,$,0,7000000
Reimpor,2017,18/02/2017,Saturday,2020-02-15,All,All,All,$,0,5000000
Reimpor,2018,17/02/2018,Saturday,2020-02-15,All,All,All,$,0,7000000
Reimpor,2015,14/02/2015,Saturday,2020-02-15,All,All,All,$,0,12000000
Reimpor,2019,16/02/2019,Saturday,2020-02-15,All,All,All,$,0,7000000
Reimpor,2020,15/02/2020,Saturday,2020-02-15,All,All,All,$,0,6000000
Reimpor,2016,14/02/2016,Sunday,2020-02-16,All,All,All,$,0,7000000
Reimpor,2020,16/02/2020,Sunday,2020-02-16,All,All,All,$,0,6000000
Reimpor,2015,15/02/2015,Sunday,2020-02-16,All,All,All,$,0,12000000
Reimpor,2017,19/02/2017,Sunday,2020-02-16,All,All,All,$,0,5000000
Reimpor,2019,17/02/2019,Sunday,2020-02-16,All,All,All,$,0,7000000
Reimpor,2018,18/02/2018,Sunday,2020-02-16,All,All,All,$,0,7000000
Reimpor,2018,19/02/2018,Monday,2020-02-17,All,All,All,$,0,7000000
Reimpor,2019,18/02/2019,Monday,2020-02-17,All,All,All,$,0,8000000
Reimpor,2017,20/02/2017,Monday,2020-02-17,All,All,All,$,1000000,6000000
Reimpor,2015,16/02/2015,Monday,2020-02-17,All,All,All,$,0,12000000
Reimpor,2016,15/02/2016,Monday,2020-02-17,All,All,All,$,0,8000000
Reimpor,2020,17/02/2020,Monday,2020-02-17,All,All,All,$,1000000,8000000
Reimpor,2018,20/02/2018,Tuesday,2020-02-18,All,All,All,$,1000000,8000000
Reimpor,2015,17/02/2015,Tuesday,2020-02-18,All,All,All,$,1000000,13000000
Reimpor,2017,21/02/2017,Tuesday,2020-02-18,All,All,All,$,0,6000000
Reimpor,2019,19/02/2019,Tuesday,2020-02-18,All,All,All,$,2000000,10000000
Reimpor,2020,18/02/2020,Tuesday,2020-02-18,All,All,All,$,1000000,8000000
Reimpor,2016,16/02/2016,Tuesday,2020-02-18,All,All,All,$,0,8000000
Reimpor,2016,17/02/2016,Wednesday,2020-02-19,All,All,All,$,0,8000000
Reimpor,2019,20/02/2019,Wednesday,2020-02-19,All,All,All,$,1000000,11000000
Reimpor,2017,22/02/2017,Wednesday,2020-02-19,All,All,All,$,0,6000000
Reimpor,2015,18/02/2015,Wednesday,2020-02-19,All,All,All,$,1000000,14000000
Reimpor,2020,19/02/2020,Wednesday,2020-02-19,All,All,All,$,0,9000000
Reimpor,2018,21/02/2018,Wednesday,2020-02-19,All,All,All,$,0,8000000
Reimpor,2020,20/02/2020,Thursday,2020-02-20,All,All,All,$,0,9000000
Reimpor,2016,18/02/2016,Thursday,2020-02-20,All,All,All,$,1000000,9000000
Reimpor,2017,23/02/2017,Thursday,2020-02-20,All,All,All,$,1000000,7000000
Reimpor,2019,21/02/2019,Thursday,2020-02-20,All,All,All,$,0,11000000
Reimpor,2015,19/02/2015,Thursday,2020-02-20,All,All,All,$,0,14000000
Reimpor,2018,22/02/2018,Thursday,2020-02-20,All,All,All,$,1000000,9000000
Reimpor,2018,23/02/2018,Friday,2020-02-21,All,All,All,$,1000000,10000000
Reimpor,2019,22/02/2019,Friday,2020-02-21,All,All,All,$,0,11000000
Reimpor,2020,21/02/2020,Friday,2020-02-21,All,All,All,$,1000000,9000000
Reimpor,2015,20/02/2015,Friday,2020-02-21,All,All,All,$,2000000,16000000
Reimpor,2016,19/02/2016,Friday,2020-02-21,All,All,All,$,1000000,11000000
Reimpor,2017,24/02/2017,Friday,2020-02-21,All,All,All,$,0,7000000
Reimpor,2015,21/02/2015,Saturday,2020-02-22,All,All,All,$,0,16000000
Reimpor,2019,23/02/2019,Saturday,2020-02-22,All,All,All,$,0,11000000
Reimpor,2020,22/02/2020,Saturday,2020-02-22,All,All,All,$,0,10000000
Reimpor,2018,24/02/2018,Saturday,2020-02-22,All,All,All,$,0,10000000
Reimpor,2016,20/02/2016,Saturday,2020-02-22,All,All,All,$,0,11000000
Reimpor,2017,25/02/2017,Saturday,2020-02-22,All,All,All,$,0,7000000
Reimpor,2018,25/02/2018,Sunday,2020-02-23,All,All,All,$,0,10000000
Reimpor,2016,21/02/2016,Sunday,2020-02-23,All,All,All,$,0,11000000
Reimpor,2020,23/02/2020,Sunday,2020-02-23,All,All,All,$,0,10000000
Reimpor,2017,26/02/2017,Sunday,2020-02-23,All,All,All,$,0,7000000
Reimpor,2019,24/02/2019,Sunday,2020-02-23,All,All,All,$,0,12000000
Reimpor,2015,22/02/2015,Sunday,2020-02-23,All,All,All,$,0,16000000
Reimpor,2018,26/02/2018,Monday,2020-02-24,All,All,All,$,1000000,11000000
Reimpor,2016,22/02/2016,Monday,2020-02-24,All,All,All,$,1000000,12000000
Reimpor,2015,23/02/2015,Monday,2020-02-24,All,All,All,$,1000000,17000000
Reimpor,2017,27/02/2017,Monday,2020-02-24,All,All,All,$,0,8000000
Reimpor,2020,24/02/2020,Monday,2020-02-24,All,All,All,$,1000000,11000000
Reimpor,2019,25/02/2019,Monday,2020-02-24,All,All,All,$,1000000,12000000
Reimpor,2016,23/02/2016,Tuesday,2020-02-25,All,All,All,$,0,12000000
Reimpor,2019,26/02/2019,Tuesday,2020-02-25,All,All,All,$,1000000,13000000
Reimpor,2015,24/02/2015,Tuesday,2020-02-25,All,All,All,$,0,18000000
Reimpor,2017,28/02/2017,Tuesday,2020-02-25,All,All,All,$,1000000,8000000
Reimpor,2018,27/02/2018,Tuesday,2020-02-25,All,All,All,$,1000000,12000000
Reimpor,2020,25/02/2020,Tuesday,2020-02-25,All,All,All,$,1000000,11000000
Reimpor,2015,25/02/2015,Wednesday,2020-02-26,All,All,All,$,1000000,19000000
Reimpor,2016,24/02/2016,Wednesday,2020-02-26,All,All,All,$,1000000,13000000
Reimpor,2020,26/02/2020,Wednesday,2020-02-26,All,All,All,$,1000000,12000000
Reimpor,2018,28/02/2018,Wednesday,2020-02-26,All,All,All,$,0,13000000
Reimpor,2017,01/03/2017,Wednesday,2020-02-26,All,All,All,$,0,9000000
Reimpor,2019,27/02/2019,Wednesday,2020-02-26,All,All,All,$,0,13000000
Reimpor,2017,02/03/2017,Thursday,2020-02-27,All,All,All,$,0,9000000
Reimpor,2016,25/02/2016,Thursday,2020-02-27,All,All,All,$,0,13000000
Reimpor,2015,26/02/2015,Thursday,2020-02-27,All,All,All,$,1000000,19000000
Reimpor,2018,01/03/2018,Thursday,2020-02-27,All,All,All,$,2000000,14000000
Reimpor,2020,27/02/2020,Thursday,2020-02-27,All,All,All,$,0,12000000
Reimpor,2019,28/02/2019,Thursday,2020-02-27,All,All,All,$,0,13000000
Reimpor,2018,02/03/2018,Friday,2020-02-28,All,All,All,$,1000000,15000000
Reimpor,2016,26/02/2016,Friday,2020-02-28,All,All,All,$,0,13000000
Reimpor,2015,27/02/2015,Friday,2020-02-28,All,All,All,$,2000000,21000000
Reimpor,2019,01/03/2019,Friday,2020-02-28,All,All,All,$,0,13000000
Reimpor,2020,28/02/2020,Friday,2020-02-28,All,All,All,$,1000000,14000000
Reimpor,2017,03/03/2017,Friday,2020-02-28,All,All,All,$,1000000,10000000
Reimpor,2020,29/02/2020,Saturday,2020-02-29,All,All,All,$,0,14000000
Reimpor,2016,27/02/2016,Saturday,2020-02-29,All,All,All,$,1000000,14000000
Reimpor,2019,02/03/2019,Saturday,2020-02-29,All,All,All,$,0,13000000
Reimpor,2018,03/03/2018,Saturday,2020-02-29,All,All,All,$,0,15000000
Reimpor,2015,28/02/2015,Saturday,2020-02-29,All,All,All,$,0,21000000
Reimpor,2017,04/03/2017,Saturday,2020-02-29,All,All,All,$,0,10000000
Reimpor,2016,01/02/2016,Monday,2020-03-02,All,All,All,$,0,0
Reimpor,2015,02/02/2015,Monday,2020-03-02,All,All,All,$,2000000,3000000
Reimpor,2020,03/02/2020,Monday,2020-03-02,All,All,All,$,0,1000000
Reimpor,2017,06/02/2017,Monday,2020-03-02,All,All,All,$,0,0
Reimpor,2018,05/02/2018,Monday,2020-03-02,All,All,All,$,1000000,1000000
Reimpor,2019,04/02/2019,Monday,2020-03-02,All,All,All,$,1000000,1000000
Reimpor,2018,06/03/2018,Tuesday,2020-03-03,All,All,All,$,0,16000000
Reimpor,2016,01/03/2016,Tuesday,2020-03-03,All,All,All,$,1000000,16000000
Reimpor,2017,07/03/2017,Tuesday,2020-03-03,All,All,All,$,0,11000000
Reimpor,2020,03/03/2020,Tuesday,2020-03-03,All,All,All,$,1000000,16000000
Reimpor,2015,03/03/2015,Tuesday,2020-03-03,All,All,All,$,1000000,24000000
Reimpor,2019,05/03/2019,Tuesday,2020-03-03,All,All,All,$,0,14000000
Reimpor,2018,06/04/2018,Friday,2020-03-04,All,All,All,$,0,29000000
Reimpor,2015,03/04/2015,Friday,2020-03-04,All,All,All,$,0,43000000
Reimpor,2016,01/04/2016,Friday,2020-03-04,All,All,All,$,0,36000000
Reimpor,2017,07/04/2017,Friday,2020-03-04,All,All,All,$,1000000,30000000
Reimpor,2020,03/04/2020,Friday,2020-03-04,All,All,All,$,2000000,30000000
Reimpor,2019,05/04/2019,Friday,2020-03-04,All,All,All,$,1000000,31000000
Reimpor,2018,06/05/2018,Sunday,2020-03-05,All,All,All,$,0,56000000
Reimpor,2016,01/05/2016,Sunday,2020-03-05,All,All,All,$,0,58000000
Reimpor,2015,03/05/2015,Sunday,2020-03-05,All,All,All,$,0,66000000
Reimpor,2019,05/05/2019,Sunday,2020-03-05,All,All,All,$,0,49000000
Reimpor,2017,07/05/2017,Sunday,2020-03-05,All,All,All,$,0,44000000
Reimpor,2020,03/05/2020,Sunday,2020-03-05,All,All,All,$,0,43000000
Reimpor,2015,03/06/2015,Wednesday,2020-03-06,All,All,All,$,1000000,82000000
Reimpor,2016,01/06/2016,Wednesday,2020-03-06,All,All,All,$,1000000,74000000
Reimpor,2020,03/06/2020,Wednesday,2020-03-06,All,All,All,$,1000000,58000000
Reimpor,2018,06/06/2018,Wednesday,2020-03-06,All,All,All,$,0,76000000
Reimpor,2019,05/06/2019,Wednesday,2020-03-06,All,All,All,$,0,64000000
Reimpor,2017,07/06/2017,Wednesday,2020-03-06,All,All,All,$,0,58000000
Reimpor,2017,07/07/2017,Friday,2020-03-07,All,All,All,$,1000000,72000000
Reimpor,2018,06/07/2018,Friday,2020-03-07,All,All,All,$,0,90000000
Reimpor,2016,01/07/2016,Friday,2020-03-07,All,All,All,$,0,90000000
Reimpor,2019,05/07/2019,Friday,2020-03-07,All,All,All,$,1000000,82000000
Reimpor,2020,03/07/2020,Friday,2020-03-07,All,All,All,$,0,76000000
Reimpor,2015,03/07/2015,Friday,2020-03-07,All,All,All,$,1000000,95000000
Reimpor,2016,01/08/2016,Monday,2020-03-08,All,All,All,$,1000000,107000000
Reimpor,2018,06/08/2018,Monday,2020-03-08,All,All,All,$,2000000,105000000
Reimpor,2020,03/08/2020,Monday,2020-03-08,All,All,All,$,1000000,102000000
Reimpor,2015,03/08/2015,Monday,2020-03-08,All,All,All,$,0,116000000
Reimpor,2017,07/08/2017,Monday,2020-03-08,All,All,All,$,1000000,88000000
Reimpor,2019,05/08/2019,Monday,2020-03-08,All,All,All,$,0,94000000
Reimpor,2015,03/09/2015,Thursday,2020-03-09,All,All,All,$,2000000,153000000
Reimpor,2020,03/09/2020,Thursday,2020-03-09,All,All,All,$,1000000,125000000
Reimpor,2019,05/09/2019,Thursday,2020-03-09,All,All,All,$,1000000,111000000
Reimpor,2017,07/09/2017,Thursday,2020-03-09,All,All,All,$,0,114000000
Reimpor,2016,01/09/2016,Thursday,2020-03-09,All,All,All,$,1000000,125000000
Reimpor,2018,06/09/2018,Thursday,2020-03-09,All,All,All,$,1000000,120000000
Reimpor,2016,01/10/2016,Saturday,2020-03-10,All,All,All,$,0,141000000
Reimpor,2020,03/10/2020,Saturday,2020-03-10,All,All,All,$,0,135000000
Reimpor,2018,06/10/2018,Saturday,2020-03-10,All,All,All,$,0,137000000
Reimpor,2019,05/10/2019,Saturday,2020-03-10,All,All,All,$,0,123000000
Reimpor,2017,07/10/2017,Saturday,2020-03-10,All,All,All,$,0,130000000
Reimpor,2015,03/10/2015,Saturday,2020-03-10,All,All,All,$,0,173000000
Reimpor,2020,03/11/2020,Tuesday,2020-03-11,All,All,All,$,1000000,156000000
Reimpor,2015,03/11/2015,Tuesday,2020-03-11,All,All,All,$,1000000,197000000
Reimpor,2019,05/11/2019,Tuesday,2020-03-11,All,All,All,$,0,139000000
Reimpor,2017,07/11/2017,Tuesday,2020-03-11,All,All,All,$,0,153000000
Reimpor,2016,01/11/2016,Tuesday,2020-03-11,All,All,All,$,1000000,157000000
Reimpor,2018,06/11/2018,Tuesday,2020-03-11,All,All,All,$,1000000,151000000
Reimpor,2016,01/12/2016,Thursday,2020-03-12,All,All,All,$,1000000,172000000
Reimpor,2015,03/12/2015,Thursday,2020-03-12,All,All,All,$,1000000,215000000
Reimpor,2020,03/12/2020,Thursday,2020-03-12,All,All,All,$,1000000,174000000
Reimpor,2019,05/12/2019,Thursday,2020-03-12,All,All,All,$,1000000,162000000
Reimpor,2017,07/12/2017,Thursday,2020-03-12,All,All,All,$,1000000,170000000
Reimpor,2018,06/12/2018,Thursday,2020-03-12,All,All,All,$,1000000,169000000
Reimpor,2015,13/03/2015,Friday,2020-03-13,All,All,All,$,1000000,29000000
Reimpor,2020,13/03/2020,Friday,2020-03-13,All,All,All,$,0,21000000
Reimpor,2019,15/03/2019,Friday,2020-03-13,All,All,All,$,1000000,20000000
Reimpor,2018,16/03/2018,Friday,2020-03-13,All,All,All,$,0,22000000
Reimpor,2017,17/03/2017,Friday,2020-03-13,All,All,All,$,0,15000000
Reimpor,2016,11/03/2016,Friday,2020-03-13,All,All,All,$,3000000,25000000
Reimpor,2015,14/03/2015,Saturday,2020-03-14,All,All,All,$,0,29000000
Reimpor,2020,14/03/2020,Saturday,2020-03-14,All,All,All,$,0,21000000
Reimpor,2019,16/03/2019,Saturday,2020-03-14,All,All,All,$,0,20000000
Reimpor,2016,12/03/2016,Saturday,2020-03-14,All,All,All,$,0,25000000
Reimpor,2018,17/03/2018,Saturday,2020-03-14,All,All,All,$,0,22000000
Reimpor,2017,18/03/2017,Saturday,2020-03-14,All,All,All,$,0,15000000
Reimpor,2016,13/03/2016,Sunday,2020-03-15,All,All,All,$,0,26000000
Reimpor,2019,17/03/2019,Sunday,2020-03-15,All,All,All,$,0,20000000
Reimpor,2015,15/03/2015,Sunday,2020-03-15,All,All,All,$,0,29000000
Reimpor,2017,19/03/2017,Sunday,2020-03-15,All,All,All,$,0,15000000
Reimpor,2020,15/03/2020,Sunday,2020-03-15,All,All,All,$,0,21000000
Reimpor,2018,18/03/2018,Sunday,2020-03-15,All,All,All,$,0,22000000
Reimpor,2016,14/03/2016,Monday,2020-03-16,All,All,All,$,1000000,26000000
Reimpor,2019,18/03/2019,Monday,2020-03-16,All,All,All,$,1000000,21000000
Reimpor,2015,16/03/2015,Monday,2020-03-16,All,All,All,$,1000000,30000000
Reimpor,2020,16/03/2020,Monday,2020-03-16,All,All,All,$,1000000,22000000
Reimpor,2017,20/03/2017,Monday,2020-03-16,All,All,All,$,0,16000000
Reimpor,2018,19/03/2018,Monday,2020-03-16,All,All,All,$,0,22000000
Reimpor,2018,20/03/2018,Tuesday,2020-03-17,All,All,All,$,1000000,23000000
